Model,Run,Algorithm,Alpha,Seed,Final_Acc,Best_Acc,Final_F1,Best_F1,Conv_Round
MLP,MLP_Centralized,Centralized,-,42,0.8978814144964163,0.8979632131645084,0.8783236802531004,0.8784074743510524,1
MLP,MLP_FedAvg_IID,FedAvg,IID,42,0.8966628964062179,0.8970972755402238,0.8771600859523369,0.877550957458724,5
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,42,0.8956925949640226,0.8956925949640226,0.8762425170224654,0.8762425170224654,4
MLP,MLP_FedProx_a1.0,FedProx,1.0,42,0.8888074036256555,0.8943499685498224,0.8688510782827605,0.8747881297547481,5
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,42,0.8947674238214646,0.8957490078385689,0.8754148845183131,0.8762568002426995,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,42,0.8941666267075472,0.8966431519001267,0.8745288017144571,0.876994617475383,4
MLP,MLP_FedProx_a0.5,FedProx,0.5,42,0.8606094282837229,0.8849205565694203,0.835577517290864,0.8643952620194434,4
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,42,0.8940143119462723,0.8967136679933094,0.8742145036958626,0.8771406986647009,5
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,42,0.8593683450437059,0.862801068459844,0.8341257368792174,0.8397491456467493,18
MLP,MLP_FedProx_a0.1,FedProx,0.1,42,0.7790223084712393,0.7821645055834643,0.735229971381635,0.743735231542538,5
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,42,0.8673310222859061,0.8673310222859061,0.846380406893891,0.846380406893891,22
CNN,CNN_Centralized,Centralized,-,42,0.8978673112777799,0.8980647563386916,0.8782505700199166,0.8785209598493583,2
CNN,CNN_FedAvg_IID,FedAvg,IID,42,0.8589085801161541,0.8968518795359477,0.8307443664854088,0.8772010522039331,7
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,42,0.8282340795816421,0.8957405459073869,0.7786786253045677,0.8759082763413922,7
CNN,CNN_FedProx_a1.0,FedProx,1.0,42,0.8003971466368055,0.8927393809815276,0.7408630957573824,0.8727422603891931,7
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,42,0.8937096824237227,0.8958279858629337,0.874347874349656,0.8760471890929467,8
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,42,0.8967164886370368,0.8967164886370368,0.8770108906899341,0.8770108906899341,7
CNN,CNN_FedProx_a0.5,FedProx,0.5,42,0.8598478544773488,0.8906182568985894,0.8351040157625857,0.8704291104749068,10
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,42,0.8608463623568171,0.8954838673282016,0.8340997545992177,0.8758566530472254,9
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,42,0.7972211017998527,0.8156370846954692,0.7672143234030293,0.7968482107288338,24
CNN,CNN_FedProx_a0.1,FedProx,0.1,42,0.7408759227030793,0.740963362658626,0.6911686535546724,0.6911686535546724,14
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,42,0.8191939164356089,0.8191939164356089,0.800744613607137,0.800744613607137,22
MLP,MLP_Centralized,Centralized,-,123,0.8980055228204181,0.8980111641078727,0.8784344056114226,0.8784463493477223,1
MLP,MLP_FedAvg_IID,FedAvg,IID,123,0.8949902546759222,0.8967954666614014,0.8755953052885911,0.8771866654457994,2
