round,accuracy,f1
1,0.3807248490250445,0.297589456047176
2,0.7188777222737773,0.6527544283894365
3,0.7802831362173476,0.7481724459272235
4,0.8247985355217767,0.8026993673093265
5,0.8296387601578432,0.8092429307538034
6,0.82026294040826,0.797182194645347
7,0.8236533541684883,0.8009274544732053
8,0.8266629810255296,0.8041152406026792
9,0.8262624496162514,0.8012274378802805
10,0.866651247147624,0.8465019592912143
11,0.8641493361614988,0.840713697326289
12,0.8790169492481574,0.8588391339930443
13,0.873496949473809,0.8529587450069633
14,0.8875240107297288,0.8672550450924998
15,0.8869034691097202,0.8667429941636535
16,0.8854621201650641,0.8650336307266083
17,0.8884378992973776,0.8679537814283709
18,0.8933288955205357,0.8734150732778666
19,0.8909877612268672,0.8706777753589591
20,0.89079595745341,0.870620545438938
21,0.875626535487929,0.8530947059542718
22,0.8869683439154484,0.8661291652001747
23,0.8895464122822111,0.8691206392528508
24,0.8946207503476443,0.8747990007032013
25,0.8944345878616418,0.8746100323266993
26,0.8951510313683789,0.875391511648569
27,0.8595770726795269,0.8341294029958385
28,0.8950297436881045,0.8752941084682114
29,0.8958336271503883,0.8761540649398486
30,0.8948181954085561,0.8751852461500964
