Model,Run,Algorithm,Alpha,Best_Acc,Best_F1,Conv_Round,Seeds
CNN,CNN_Centralized,Centralized,-,0.8987 ± 0.0004,0.6875 ± 0.0087,17.7 ± 1.5,3
CNN,CNN_FedAvg_IID,FedAvg,IID,0.8961 ± 0.0002,0.6423 ± 0.0078,10.0 ± 2.0,3
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,0.8555 ± 0.0166,0.4166 ± 0.0762,9.0 ± 3.6,3
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,0.8873 ± 0.0088,0.5820 ± 0.0305,15.0 ± 5.6,3
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,0.8931 ± 0.0024,0.6344 ± 0.0259,10.3 ± 1.5,3
CNN,CNN_FedProx_a0.1,FedProx,0.1,0.8519 ± 0.0185,0.3808 ± 0.1072,13.0 ± 9.5,3
CNN,CNN_FedProx_a0.5,FedProx,0.5,0.8836 ± 0.0075,0.5580 ± 0.0238,14.7 ± 3.5,3
CNN,CNN_FedProx_a1.0,FedProx,1.0,0.8877 ± 0.0026,0.5662 ± 0.0045,11.7 ± 4.9,3
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.8370 ± 0.0708,0.5634 ± 0.0215,16.0 ± 4.4,3
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8937 ± 0.0009,0.6468 ± 0.0217,13.7 ± 1.5,3
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8934 ± 0.0023,0.6381 ± 0.0120,9.3 ± 1.2,3
MLP,MLP_Centralized,Centralized,-,0.8998 ± 0.0001,0.7071 ± 0.0010,12.7 ± 3.2,3
MLP,MLP_FedAvg_IID,FedAvg,IID,0.8975 ± 0.0000,0.6751 ± 0.0019,4.0 ± 1.0,3
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,0.8590 ± 0.0218,0.4468 ± 0.0719,3.7 ± 2.5,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,0.8896 ± 0.0082,0.6173 ± 0.0237,6.3 ± 3.2,3
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,0.8939 ± 0.0026,0.6609 ± 0.0122,4.3 ± 0.6,3
MLP,MLP_FedProx_a0.1,FedProx,0.1,0.8607 ± 0.0226,0.5013 ± 0.0907,17.3 ± 4.0,3
MLP,MLP_FedProx_a0.5,FedProx,0.5,0.8889 ± 0.0052,0.6195 ± 0.0246,9.7 ± 3.1,3
MLP,MLP_FedProx_a1.0,FedProx,1.0,0.8907 ± 0.0024,0.6302 ± 0.0090,7.0 ± 1.7,3
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.8410 ± 0.0807,0.6086 ± 0.0208,4.7 ± 1.5,3
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8937 ± 0.0034,0.6768 ± 0.0157,4.3 ± 0.6,3
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8941 ± 0.0035,0.6706 ± 0.0150,3.7 ± 0.6,3
