Model,Run,Algorithm,Alpha,Seed,Final_Acc,Best_Acc,Final_F1,Best_F1,Conv_Round
MLP,MLP_Centralized,Centralized,-,42,0.8997947653561269,0.8999199286486343,0.7043505178389036,0.708234127394243,14
MLP,MLP_FedAvg_IID,FedAvg,IID,42,0.8974092027346936,0.897515301419733,0.674723014456748,0.674723014456748,5
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,42,0.8963929762670504,0.896465919113015,0.6646197239002002,0.6688787780703161,5
MLP,MLP_FedProx_a1.0,FedProx,1.0,42,0.8926040927567754,0.8929679780906216,0.6246540484956342,0.6266271229019733,6
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,42,0.8961749766251335,0.8962131058400695,0.65383835196378,0.6562405347376035,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,42,0.8936874597985451,0.8936874597985451,0.6223498390271807,0.6223498390271807,4
MLP,MLP_FedProx_a0.5,FedProx,0.5,42,0.8920644814758327,0.8920644814758327,0.6448104553341325,0.6448104553341325,13
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,42,0.8956096695689078,0.896145965265943,0.6841731972924838,0.6841731972924838,4
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,42,0.882404527761384,0.884030821668004,0.4912094804295151,0.5293680068013068,1
MLP,MLP_FedProx_a0.1,FedProx,0.1,42,0.8850022877528961,0.8867927030629364,0.5646674715355993,0.6053786865266952,13
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,42,0.8891044939424282,0.8919724740224001,0.5887422656397728,0.621062133823413,6
CNN,CNN_Centralized,Centralized,-,42,0.8977573390449792,0.8987072538344728,0.6807091755613066,0.6893051544769986,16
CNN,CNN_FedAvg_IID,FedAvg,IID,42,0.8963042843975253,0.8963042843975253,0.642772924113052,0.642772924113052,8
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,42,0.8954903085482384,0.8958475627142696,0.636612200542919,0.6399591338415007,10
CNN,CNN_FedProx_a1.0,FedProx,1.0,42,0.8903677314111789,0.890578270989304,0.5671834167357673,0.5713627996437929,6
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,42,0.8949291459718971,0.8949805375224631,0.6253364208901715,0.6253364208901715,8
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,42,0.8907034342818114,0.8908410310139718,0.5819959053005059,0.5853706683656069,16
CNN,CNN_FedProx_a0.5,FedProx,0.5,42,0.8882880314052107,0.8882880314052107,0.5728774511964162,0.5728774511964162,15
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,42,0.8934238708779003,0.8943124473651055,0.6515737511265056,0.6515737511265056,15
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,42,0.8739671956128193,0.874423917296075,0.4812618144864025,0.4903660547721284,8
CNN,CNN_FedProx_a0.1,FedProx,0.1,42,0.8702247302772491,0.8732841853278781,0.4968949650034513,0.5006115156675229,19
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,42,0.8845115813345888,0.8862365138624563,0.5412564359207761,0.570121479845116,21
MLP,MLP_Centralized,Centralized,-,123,0.8993977241832058,0.8998212900273868,0.703780131883365,0.7065431988362467,15
MLP,MLP_FedAvg_IID,FedAvg,IID,123,0.8970436596088938,0.897445674157676,0.6713607298688544,0.6734235243540947,3
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,123,0.8940223337732008,0.894142523689847,0.6421724984591191,0.6468640450211274,4
MLP,MLP_FedProx_a1.0,FedProx,1.0,123,0.8910184147530221,0.8910184147530221,0.6229481470089342,0.6235892496168228,9
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,123,0.8958674562177145,0.8960954026113539,0.663602861582399,0.66932518532656,4
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,123,0.8784183670086139,0.8801035125295916,0.5740128909955265,0.5914193070808607,10
MLP,MLP_FedProx_a0.5,FedProx,0.5,123,0.8786463134022533,0.882865393924524,0.5914508577885393,0.5956302401563541,9
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,123,0.8884919398155209,0.8899010629762008,0.6868914201696239,0.6875203294359038,4
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,123,0.8433983408818126,0.8444949702592124,0.3890152566170937,0.3986589970031128,6
MLP,MLP_FedProx_a0.1,FedProx,0.1,123,0.8458833710204704,0.8484421729010696,0.4592141644575999,0.4592141644575999,21
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,123,0.8772744905605326,0.8830751046066723,0.6178164158526755,0.6201454832856605,5
CNN,CNN_Centralized,Centralized,-,123,0.8990686524803884,0.8990686524803884,0.6892305811340281,0.6951799448900714,19
CNN,CNN_FedAvg_IID,FedAvg,IID,123,0.8962371438233987,0.8962371438233987,0.6465508185895261,0.6497612054793949,10
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,123,0.8913126728248112,0.8915422770104043,0.6041661178810206,0.6061573695798754,9
CNN,CNN_FedProx_a1.0,FedProx,1.0,123,0.8859024687837775,0.8866857754819201,0.5627613507620095,0.5627613507620095,15
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,123,0.8942710025662619,0.8944127437783068,0.6334358271204635,0.6397499597328802,10
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,123,0.8764290166641248,0.8772827795203013,0.5498764349165423,0.5498764349165423,20
CNN,CNN_FedProx_a0.5,FedProx,0.5,123,0.875006631167815,0.875006631167815,0.5306021801516998,0.5306021801516998,18
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,123,0.8855079142987872,0.8925982904849373,0.665307341465559,0.665772222784365,12
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,123,0.8426365854790687,0.8433353447875706,0.3373471180404661,0.3381954528019784,6
CNN,CNN_FedProx_a0.1,FedProx,0.1,123,0.8422229663866103,0.8426946081974497,0.3023026791044442,0.3477961781646677,18
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,123,0.8621794659257442,0.8688678275631121,0.5808005543872825,0.5808005543872825,13
MLP,MLP_Centralized,Centralized,-,7,0.8992087359004795,0.8997864763963581,0.700498045519962,0.7065840653969226,9
MLP,MLP_FedAvg_IID,FedAvg,IID,7,0.8971456138140488,0.8974945790203113,0.6771878197518606,0.6771878197518606,4
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,7,0.8898007665629994,0.8912107186196561,0.6621382037179828,0.6670045050861909,4
MLP,MLP_FedProx_a1.0,FedProx,1.0,7,0.8869858358255472,0.888209286287408,0.636476235551374,0.6403859917130872,6
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,7,0.8855112298826946,0.8900668421715748,0.6859823697450333,0.6861370795639676,4
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,7,0.8949631307069488,0.8949631307069488,0.6380175143734708,0.6380175143734708,5
MLP,MLP_FedProx_a0.5,FedProx,0.5,7,0.8907788638157066,0.8916442312155594,0.6155529120796023,0.6179835536100233,7
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,7,0.8950319290730291,0.8951662102212821,0.6536581405179451,0.658791396435815,5
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,7,0.8483849790786655,0.8483849790786655,0.4051709029625444,0.4122617118339672,4
MLP,MLP_FedProx_a0.1,FedProx,0.1,7,0.8459281314032214,0.8468879929444374,0.4392465513337898,0.4392465513337898,18
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,7,0.7463395953661399,0.7479468246652918,0.5838736844735493,0.5846092204726602,3
CNN,CNN_Centralized,Centralized,-,7,0.8980383347811383,0.8982720834466158,0.6666323209644626,0.6780375943933976,18
CNN,CNN_FedAvg_IID,FedAvg,IID,7,0.8958832052412751,0.8958832052412751,0.6290590814838135,0.6342484291011289,12
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,7,0.8916997672460097,0.8920313256367579,0.6547234479083687,0.6570639446907889,12
CNN,CNN_FedProx_a1.0,FedProx,1.0,7,0.8857698454274783,0.8857698454274783,0.5645675700667536,0.5645675700667536,14
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,7,0.8907150388254875,0.8907150388254875,0.6491172545579277,0.6491172545579277,10
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,7,0.892292427869472,0.8938408055542661,0.6073860415861964,0.6106097567429685,9
CNN,CNN_FedProx_a0.5,FedProx,0.5,7,0.8855070854028103,0.8876099944961308,0.553402482691934,0.570542657719288,11
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,7,0.8933277189445833,0.8941607594013382,0.6183066947768203,0.6231168623203429,14
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,7,0.8482523557223662,0.8486999595498763,0.4158493013422898,0.4211140478996893,13
CNN,CNN_FedProx_a0.1,FedProx,0.1,7,0.8391626824400045,0.8398291148054083,0.2834305671171406,0.2938540224749612,2
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,7,0.755862781244405,0.755862781244405,0.5393326826800366,0.5393326826800366,14
