round,accuracy,f1
1,0.7675648536509002,0.731479345941505
2,0.8565674458224856,0.8319498661552724
3,0.8536537208521728,0.8328420114436028
4,0.8621748855523808,0.8421130212371061
5,0.8664171337182571,0.8462097642977401
6,0.8755475574635644,0.8565718732511904
7,0.8810873017440041,0.862309491179299
8,0.8851067190554228,0.8658662273630969
9,0.8836004953050385,0.8647700574964016
10,0.89019798098322,0.8700293858934675
11,0.8864267803198046,0.8674686716809052
12,0.8823594120650214,0.8637002344848146
13,0.8924996262647061,0.8731146780644213
14,0.8812114100680057,0.8599440759827934
15,0.8945671581168254,0.874991437387986
16,0.8951228249311057,0.8755315789465521
17,0.8952638571174714,0.8757674617523125
18,0.8874788804300917,0.8687812285193627
19,0.8958618335876614,0.8763150489945811
20,0.894372533699641,0.8749340655081226
21,0.8936871172739043,0.8743922994515109
22,0.8966685376936725,0.8770379402966799
23,0.896166463110211,0.8766515135378499
24,0.8969590639975855,0.877313138077794
25,0.8972636935201351,0.8776538353223766
26,0.8960169689926635,0.8765311039332968
27,0.8971311232649515,0.8775612227915119
28,0.8955515627776571,0.875887886284895
29,0.8924432133901599,0.8721221017679365
30,0.8957405459073869,0.8758877585526325
