round,accuracy,f1
1,0.3121775651639217,0.17512769126810468
2,0.338688795556922,0.20862861340170571
3,0.5048218904518389,0.41989975951507347
4,0.5526515461358591,0.46699959727519896
5,0.5988988206888576,0.5235197418346982
6,0.6439529629452033,0.5901727160476432
7,0.6832783777913796,0.6362701500419093
8,0.6942111928784387,0.6453349239275299
9,0.7037534306079334,0.6564982120029575
10,0.6991134716765061,0.652598509933014
11,0.7243328472423977,0.6767636309804025
12,0.7158173238296444,0.6686613938087648
13,0.7346028110535386,0.6833206364130607
14,0.7368282989543874,0.6865225938506274
15,0.7451943282495931,0.6939316199571762
16,0.7515097495550435,0.7013304799657102
17,0.7484803781919109,0.6965293751590783
18,0.7556673784091005,0.70589132524416
19,0.7529877668681546,0.7039268062411232
20,0.763424148659207,0.7169810788016673
21,0.7839725382126709,0.7557434849011918
22,0.7613171277949053,0.7108596636941757
23,0.7794736114676092,0.7471308522730845
24,0.8113694507360469,0.7913340606898341
25,0.7742525999283556,0.7348113086945406
26,0.7762778221245653,0.7367030169141381
27,0.8156370846954692,0.7968482107288338
28,0.7924288281071507,0.7653229001628836
29,0.7928632072411566,0.7640072088322865
30,0.7972211017998527,0.7672143234030293
