Model,Run,Algorithm,Alpha,Best_Acc,Best_F1,Conv_Round,Seeds
CNN,CNN_Centralized,Centralized,-,0.8981 ± 0.0000,0.8785 ± 0.0000,3.0 ± 1.7,3
CNN,CNN_FedAvg_IID,FedAvg,IID,0.8958 ± 0.0010,0.8761 ± 0.0011,7.7 ± 0.6,3
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,0.8049 ± 0.0105,0.7821 ± 0.0146,24.3 ± 0.6,3
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,0.8938 ± 0.0025,0.8741 ± 0.0025,8.7 ± 1.5,3
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,0.8964 ± 0.0006,0.8767 ± 0.0007,7.3 ± 0.6,3
CNN,CNN_FedProx_a0.1,FedProx,0.1,0.7412 ± 0.0017,0.6869 ± 0.0038,13.3 ± 1.2,3
CNN,CNN_FedProx_a0.5,FedProx,0.5,0.8857 ± 0.0064,0.8652 ± 0.0070,13.7 ± 3.5,3
CNN,CNN_FedProx_a1.0,FedProx,1.0,0.8933 ± 0.0014,0.8735 ± 0.0015,10.0 ± 3.0,3
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.7989 ± 0.0284,0.7766 ± 0.0320,21.0 ± 2.6,3
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8930 ± 0.0041,0.8732 ± 0.0042,10.7 ± 1.5,3
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8958 ± 0.0000,0.8761 ± 0.0001,8.7 ± 1.2,3
MLP,MLP_Centralized,Centralized,-,0.8980 ± 0.0000,0.8784 ± 0.0000,1.0 ± 0.0,3
MLP,MLP_FedAvg_IID,FedAvg,IID,0.8971 ± 0.0003,0.8775 ± 0.0003,3.0 ± 1.7,3
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,0.8417 ± 0.0459,0.8127 ± 0.0569,16.3 ± 4.7,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,0.8938 ± 0.0051,0.8739 ± 0.0055,3.7 ± 0.6,3
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,0.8963 ± 0.0009,0.8767 ± 0.0008,3.7 ± 0.6,3
MLP,MLP_FedProx_a0.1,FedProx,0.1,0.8046 ± 0.0482,0.7648 ± 0.0641,10.3 ± 7.6,3
MLP,MLP_FedProx_a0.5,FedProx,0.5,0.8886 ± 0.0045,0.8685 ± 0.0048,4.7 ± 1.2,3
MLP,MLP_FedProx_a1.0,FedProx,1.0,0.8928 ± 0.0023,0.8732 ± 0.0025,4.7 ± 1.5,3
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.8553 ± 0.0270,0.8334 ± 0.0278,19.7 ± 2.5,3
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8946 ± 0.0020,0.8751 ± 0.0019,4.7 ± 0.6,3
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8967 ± 0.0008,0.8771 ± 0.0008,2.7 ± 0.6,3
