round,accuracy,f1
1,0.4240894256887307,0.32259882421609865
2,0.7318949930753197,0.6991312783424484
3,0.776303207918111,0.7515107533280438
4,0.8012771874797266,0.7795762348394567
5,0.8109858431891326,0.7896068051781436
6,0.8247026336350481,0.8043463982728732
7,0.8320109215325121,0.8117099879526918
8,0.8425206400604746,0.8219670517641365
9,0.8427293676962957,0.8209505643075322
10,0.8682533727847369,0.8473704823024161
11,0.8611227854420936,0.8405629756958336
12,0.8654383703448801,0.8436999895415813
13,0.8769324935336743,0.8559891830751354
14,0.8767040213917621,0.8556234931982353
15,0.8418831745781022,0.8105162818765461
16,0.8733333521376249,0.8508033608239169
17,0.8666089374917143,0.8432863241785848
18,0.8869993709964488,0.8664989235897135
19,0.8857949561248868,0.8654290284637636
20,0.7811575357728141,0.7214006432735323
21,0.8754883239452907,0.8533483732758952
22,0.7736179550897105,0.7140754292946532
23,0.8792313181714331,0.8579698523815797
24,0.8614443388270071,0.8362710442800663
25,0.8906182568985894,0.8704291104749068
26,0.8878286402522784,0.8673640056556073
27,0.8881671174995558,0.8680689405336518
28,0.8813580835418259,0.860447266332772
29,0.84543154438706,0.8147867932353594
30,0.8598478544773488,0.8351040157625857
