round,accuracy,f1
1,0.8909761410582018,0.6115418423873327
2,0.8930127384733726,0.6281350243386331
3,0.8942627136064932,0.632014123124025
4,0.8946522947156224,0.643573205219625
5,0.8953054647453963,0.6486128315177891
6,0.895480361796516,0.6508101737992976
7,0.895569882562018,0.6581729154507516
8,0.8958243536269173,0.6556190657986976
9,0.8958293270027785,0.6583562042099638
10,0.8959876461343608,0.6580076284969275
11,0.8961890678567402,0.6582945668920575
12,0.8963117444613171,0.6643162346323117
13,0.8962213947998382,0.6631346713396258
14,0.8968264888629537,0.6659728596665325
15,0.8964700635928994,0.663777050639777
16,0.8965595843584013,0.6656624183557143
17,0.8963904895791198,0.6636122727295735
18,0.8968074242554857,0.674487173864173
19,0.8966093181170136,0.6690571374502681
20,0.8968422378865142,0.6690481317382511
21,0.8966847476509088,0.6710906219799073
22,0.8970063592899346,0.6727924147376027
23,0.8974473319496297,0.6761923239051415
24,0.8969417054037386,0.6733097753065845
25,0.8969176674204095,0.6743741757060997
26,0.8969044050847795,0.67474867870637
27,0.8969864657864897,0.6750438289113331
28,0.8974945790203113,0.6770244590043497
29,0.8972011498444992,0.6756151560559023
30,0.8971456138140488,0.6771878197518606
