round,accuracy,f1
1,0.6258021205599542,0.5884602940638028
2,0.802349032096105,0.7785223975490219
3,0.8257124240894257,0.8049482711022009
4,0.8513887439391418,0.8314710155128915
5,0.8204378203193533,0.7849906613444265
6,0.8203165326390789,0.7844091395601283
7,0.8786953958632439,0.8581285856284839
8,0.8803962440308127,0.8600233993588738
9,0.8413754587071861,0.8099111581802579
10,0.8852336480231519,0.8645204198560257
11,0.8866552524617168,0.8661568168383844
12,0.888088139475191,0.8681608741073016
13,0.8912641843121437,0.8714742465197186
14,0.8919580626690623,0.8721357914913592
15,0.8930609343664411,0.8732844388413133
16,0.8935996773183575,0.8738223349528276
17,0.8284540897923725,0.7915552786104026
18,0.8907987780971374,0.8709250247031286
19,0.8878088957461872,0.8672875752856721
20,0.895613616939658,0.8759793229013183
21,0.8955515627776571,0.8759313402040974
22,0.8954133512350189,0.8758263222257532
23,0.8927788699937099,0.872962862966558
24,0.8964964784263064,0.8768473166646047
25,0.8892389621159341,0.8684296756000005
26,0.8950212817569225,0.8752899692068212
27,0.8955882311461122,0.8760989060784568
28,0.8968518795359477,0.8772010522039331
29,0.8895153852012107,0.8686832233224847
30,0.8589085801161541,0.8307443664854088
