round,accuracy,f1
1,0.7705801217953961,0.7420273001422089
2,0.7949899726115494,0.7702531668309853
3,0.839626659596253,0.8162730247668191
4,0.8367608855693046,0.8144234377128495
5,0.8370767976667635,0.8158632857287889
6,0.8524436646931562,0.8310917757404561
7,0.8518879978788759,0.8309726012387557
8,0.86330878433076,0.8420646492244391
9,0.8692152122957502,0.8479404276529791
10,0.8759480888728426,0.8543454555209767
11,0.872275610739883,0.8510851540938085
12,0.8662507157383458,0.8463196470554935
13,0.8801846957512643,0.8590757493646612
14,0.8737592693404489,0.8537489235269763
15,0.8817022020765579,0.8607821629782837
16,0.8822973579030207,0.8613572142711236
17,0.8803877820996308,0.8601561810203755
18,0.8771553243881318,0.8572972548364951
19,0.8832817625638523,0.8623895030867658
20,0.88529852282888,0.8648607098811218
21,0.8804159885369038,0.8591357975343809
22,0.8878568466895514,0.8675637395242464
23,0.8812621816550973,0.8601240789202091
24,0.887272973437998,0.8670169554641715
25,0.8875211900860014,0.8675232314680996
26,0.8888102242693827,0.8687663429306802
27,0.8897100096183951,0.8695064629142254
28,0.8866693556803533,0.8662916764418657
29,0.8899977152785808,0.8701631438148514
30,0.8901866984083108,0.8703172122644737
