round,accuracy,f1
1,0.8464337579491125,0.2831630270023333
2,0.8777792882104467,0.4866812067339131
3,0.8844701365357454,0.508351980433378
4,0.887953986326532,0.5297845089882907
5,0.8894219611015696,0.5605429995015954
6,0.890475487888172,0.5678653146730757
7,0.8909777988501555,0.5867899766509866
8,0.891832390602309,0.5989417587705489
9,0.8921921314562707,0.6025936326256551
10,0.8924366557694475,0.6093516685226474
11,0.891601957520739,0.6039058498026458
12,0.8930309741848637,0.6176313009618342
13,0.8928187768147848,0.6112924275237872
14,0.8931312705980651,0.614105058216069
15,0.8935888211772975,0.6213139711068028
16,0.8928850884929345,0.6109777820527764
17,0.8934396199014608,0.6185384041614478
18,0.893662592919239,0.6223887338307439
19,0.8937662049163478,0.6300679607559055
20,0.8938101364031219,0.6231173846615572
21,0.8934818935962813,0.6247474243668243
22,0.8939551931990742,0.6305811855489047
23,0.8940198470852702,0.6252998654330836
24,0.8940480295484838,0.6311329375761628
25,0.8940264782530851,0.6283885880102843
26,0.8938897104169016,0.6281836719614837
27,0.8940861587634198,0.6342078610864004
28,0.8940737253237667,0.6380799956415504
29,0.8944127437783068,0.6397499597328802
30,0.8942710025662619,0.6334358271204635
