round,accuracy,f1
1,0.32980361796515983,0.16980274184653243
2,0.8381050111735178,0.2814675237110935
3,0.8384017559332374,0.2834011366359005
4,0.8381066689654715,0.2817411370652294
5,0.8384564630677108,0.2834769393327897
6,0.8384705542993176,0.28348433661942096
7,0.8386786071895121,0.2836510123608418
8,0.8386479380383679,0.28351551082813775
9,0.8384871322188551,0.2837083170924338
10,0.838993587660723,0.2837477485180869
11,0.8388510175527012,0.28356648333553164
12,0.8389720363653242,0.28377781805963953
13,0.8388045993779965,0.2838063637128461
14,0.8390027055164685,0.28363017063139834
15,0.8392231918463161,0.2836291180398164
16,0.8377485859034635,0.2825046160010671
17,0.8389786675331392,0.2837113684057445
18,0.838603177655617,0.2842641800696939
19,0.8391419600405827,0.2838936332307159
20,0.8392182184704549,0.2837605986370068
21,0.8391601957520739,0.2836824154299027
22,0.8395174499181051,0.29138456504946414
23,0.839191693799195,0.28374724156550074
24,0.8391800892555188,0.2838326148238774
25,0.8395323700456887,0.28805489270742946
26,0.838813717233742,0.2833666974741471
27,0.8398291148054083,0.2938540224749612
28,0.8394561116158167,0.2877279212496844
29,0.839664993401988,0.2894926284467212
30,0.8391626824400045,0.2834305671171406
