Model,Run,Algorithm,Alpha,Acc_mean,Acc_std,F1_mean,F1_std,Conv_mean,Conv_std,n_seeds
CNN,CNN_Centralized,Centralized,-,0.8986826632538256,0.0003988534553990347,0.6875075645868226,0.008711402998234556,17.666666666666668,1.5275252316519465,3
CNN,CNN_FedAvg_IID,FedAvg,IID,0.8961415444873997,0.00022623293027251574,0.6422608528978585,0.0077690553117862535,10.0,2.0,3
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,0.855486407211174,0.016618265223806716,0.4165585184912654,0.07618751644549598,9.0,3.605551275463989,3
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,0.8873215386961798,0.008822254596564993,0.5819522866750392,0.030510622659245614,15.0,5.5677643628300215,3
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,0.8931403884538106,0.0023571988666854656,0.634393482704055,0.02590564034758803,10.333333333333334,1.5275252316519465,3
CNN,CNN_FedProx_a0.1,FedProx,0.1,0.8519359694435787,0.018543529981558244,0.38075390543571724,0.10724655746443668,13.0,9.539392014169456,3
CNN,CNN_FedProx_a0.5,FedProx,0.5,0.8836348856897188,0.007479974303671399,0.5580074296891347,0.02376233557127784,14.666666666666666,3.511884584284246,3
CNN,CNN_FedProx_a1.0,FedProx,1.0,0.8876779639662341,0.002553148563481684,0.566230573490852,0.004535462050100893,11.666666666666666,4.932882862316248,3
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.836989040889991,0.07079209220671158,0.5634182389708117,0.021531283627465345,16.0,4.358898943540674,3
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8936904990837937,0.0009489162382158799,0.6468209454104045,0.021721229608614848,13.666666666666666,1.5275252316519468,3
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8933694400420858,0.002316243035172337,0.6380678783936599,0.011979318040155161,9.333333333333334,1.1547005383792515,3
MLP,MLP_Centralized,Centralized,-,0.8998425650241263,6.922315381506395e-05,0.7071204638758042,0.0009646773259342,12.666666666666666,3.214550253664318,3
MLP,MLP_FedAvg_IID,FedAvg,IID,0.8974851848659068,3.575159448363586e-05,0.6751114528542344,0.0019119736535558513,4.0,1.0,3
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,0.8589702570019607,0.021790065814254914,0.44676290521279566,0.07186070253642514,3.6666666666666665,2.516611478423583,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,0.8895847010116952,0.008235686695201343,0.617262220160504,0.023712046095195758,6.333333333333333,3.214550253664318,3
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,0.8939397204741727,0.002633463482671822,0.6609157760592115,0.012205186753169653,4.333333333333333,0.5773502691896257,3
MLP,MLP_FedProx_a0.1,FedProx,0.1,0.8607076229694811,0.02260370371080547,0.501279800772695,0.09070341727235996,17.333333333333332,4.041451884327381,3
MLP,MLP_FedProx_a0.5,FedProx,0.5,0.8888580355386386,0.005194031931623965,0.6194747497001699,0.02462399521945201,9.666666666666666,3.055050463303893,3
MLP,MLP_FedProx_a1.0,FedProx,1.0,0.8907318930436839,0.0023922495557392328,0.6302007880772944,0.008950471962476688,7.0,1.7320508075688772,3
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.8409981344314548,0.08070749954328155,0.6086056125272447,0.020786538571394734,4.666666666666667,1.5275252316519468,3
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8937377461544753,0.0033585835324918857,0.6768283077214008,0.015709820175274166,4.333333333333333,0.5773502691896258,3
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8941251168743327,0.003515061690041308,0.6705675998760438,0.01498694577201361,3.6666666666666665,0.5773502691896258,3
