Model,Run,Algorithm,Alpha,Acc_mean,Acc_std,F1_mean,F1_std,Conv_mean,Conv_std,n_seeds
CNN,CNN_Centralized,Centralized,-,0.8980769791281767,3.6812732668676636e-05,0.8784986274272613,2.579814651969885e-05,3.0,1.7320508075688772,3
CNN,CNN_FedAvg_IID,FedAvg,IID,0.8958035402839636,0.0010478694610537153,0.8760992897366492,0.0011387427529038292,7.666666666666667,0.5773502691896257,3
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,0.804872568017473,0.010515063346046287,0.782056838815385,0.014624388821565654,24.333333333333332,0.5773502691896255,3
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,0.8938215679582395,0.0025364666490365452,0.8741196873912411,0.0025173742355495223,8.666666666666666,1.5275252316519468,3
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,0.8963751907460321,0.0005670756726055793,0.8766714824765293,0.0006760744687186825,7.333333333333333,0.5773502691896257,3
CNN,CNN_FedProx_a0.1,FedProx,0.1,0.7411617479341136,0.0016912630907953549,0.686946758461105,0.003807834644710293,13.333333333333334,1.1547005383792517,3
CNN,CNN_FedProx_a0.5,FedProx,0.5,0.8856689673717336,0.0063874860316424495,0.8652168053456393,0.0070153327540655695,13.666666666666666,3.5118845842842465,3
CNN,CNN_FedProx_a1.0,FedProx,1.0,0.8933166727310508,0.0013931162890950665,0.8734891577523642,0.0014573491755667145,10.0,3.0,3
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.7988523740888146,0.028357903125939273,0.7765661602090685,0.031961994495031794,21.0,2.6457513110645907,3
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8930383692166227,0.004058712264946122,0.8732172409703862,0.004219123092216253,10.666666666666666,1.5275252316519468,3
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8958289260775093,4.308604462994306e-06,0.8760937335661302,5.475555344000916e-05,8.666666666666666,1.1547005383792515,3
MLP,MLP_Centralized,Centralized,-,0.8979763761685692,3.0422879721871644e-05,0.8784117883673274,3.2618636856404965e-05,1.0,0.0,3
MLP,MLP_FedAvg_IID,FedAvg,IID,0.8971283026212241,0.0003493842929953247,0.8775209526437248,0.0003203404346776629,3.0,1.7320508075688772,3
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,0.8417477836791912,0.04594152181588268,0.8126511865958713,0.0568788181754107,16.333333333333332,4.725815626252608,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,0.8938037038812997,0.0050801424913316405,0.873921836415728,0.005495758263881975,3.6666666666666665,0.5773502691896258,3
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,0.8962642454260911,0.0008685308162049472,0.8767012816057035,0.0008251215771872802,3.6666666666666665,0.5773502691896257,3
MLP,MLP_FedProx_a0.1,FedProx,0.1,0.8046036666488026,0.04818214808385892,0.7648049398854759,0.0641075933670879,10.333333333333334,7.571877794400365,3
MLP,MLP_FedProx_a0.5,FedProx,0.5,0.8886494475769261,0.004486135200044704,0.8685228431371669,0.004849526596472578,4.666666666666667,1.1547005383792515,3
MLP,MLP_FedProx_a1.0,FedProx,1.0,0.8928098970747104,0.0022832165802176498,0.8731865019808387,0.0024904820620660446,4.666666666666667,1.5275252316519465,3
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,0.8552614877767404,0.026959997080848983,0.8334106264245627,0.027771625601073734,19.666666666666668,2.516611478423583,3
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,0.8946480165703417,0.001990551946795958,0.8751206010766297,0.001918737215630143,4.666666666666667,0.5773502691896258,3
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,0.8966939234872182,0.00084557705338553,0.8771296025839144,0.000790059258962309,2.6666666666666665,0.5773502691896258,3
