round,accuracy,f1
1,0.8870687254232343,0.5783103895550726
2,0.891435349429388,0.6092938936986569
3,0.8927682141601958,0.6242271776954279
4,0.8938275432186362,0.6279506361635978
5,0.8937819539399083,0.6301849264260333
6,0.8943431165162496,0.6329357828880114
7,0.8950659138080808,0.6369623931216886
8,0.8945055801277163,0.636068225386844
9,0.8952167728758712,0.6399930060259023
10,0.8948247050788114,0.637423347745922
11,0.8949714196667176,0.6420848167946367
12,0.8954314569338806,0.6417627018940417
13,0.8954463770614643,0.6460173917019263
14,0.8954712439407704,0.6450861626007895
15,0.8957588708447445,0.6470709162057728
16,0.8954944530281228,0.6473999833719768
17,0.8954853351723772,0.6476807516669967
18,0.8958028023315187,0.6513871929473274
19,0.8957480951970451,0.6489603609656064
20,0.8958226958349635,0.6487437480550566
21,0.8958575094659921,0.65173204143289
22,0.8958823763452982,0.6524916238666294
23,0.8958483916102464,0.651941138782707
24,0.8958492205062234,0.6491606636469652
25,0.8962131058400695,0.6541841388737872
26,0.8960390376849267,0.6562405347376035
27,0.8962073035682314,0.6528985475963502
28,0.8959420568556329,0.6530411985658466
29,0.8959337678958641,0.652533403099749
30,0.8961749766251335,0.65383835196378
